method,condition,frames,detection_success_pct,latency_median_ms,latency_p95_ms,jitter_x_mm,jitter_y_mm,jitter_z_mm,positional_error_median_mm
haar,stationary,1350,99.11111111111111,30.8665625,38.058623399999995,1.9314899597396498,1.3643955905640206,10.42012128601174,45.47025303306435
haar,horizontal,1350,50.666666666666664,29.602604,36.54112934999999,33.763002410774824,4.879046505132792,31.294951816011938,
haar,vertical,1350,70.88888888888889,29.841271,38.678174999999996,23.008809405448815,16.42817699025984,130.3820604450728,
haar,distance,1350,99.33333333333333,32.279354,46.206050149999996,20.365248494144282,7.497015847064194,145.2366448350375,
haar,low_light,1350,95.11111111111111,29.9426455,38.17545654999999,1.7028620264082357,1.8157459592529321,14.721134780261718,
haar,glasses,1350,88.66666666666667,28.55825,35.48193995,2.767468560852486,1.793307802591565,21.491597817205598,
haar,occlusion,1350,62.0,28.425103999999997,35.8285417,2.292280896663323,1.4608605016951635,7.9935569422738535,
haar,head_rotation,1350,8.666666666666666,23.291667,30.894678649999996,17.869896394288485,4.056853129546879,30.46767013405493,
yunet,stationary,1350,100.0,20.643604,27.2258064,2.137439110774262,1.4969241742744641,8.005719033037131,49.22127907820573
yunet,horizontal,1350,100.0,20.9406045,28.222458149999998,33.0402208276769,5.052695747434536,21.68473030949685,
yunet,vertical,1350,100.0,20.815292,27.64074969999999,14.63226120664346,16.234635623868744,24.17607061521279,
yunet,distance,1350,100.0,20.8822915,27.96613955,11.906806721724973,7.559600569503811,88.5671120887255,
yunet,low_light,1350,100.0,20.8729995,27.20614115,1.8291004909321273,2.107067714470325,18.06841336686631,
yunet,glasses,1350,100.0,20.981749999999998,27.486842,2.525084296856658,2.0681060261711033,17.334746061957986,
yunet,occlusion,1350,100.0,20.7965835,27.26846005,4.713468685034678,1.4822819779831606,48.85687048905706,
yunet,head_rotation,1350,100.0,20.879146,27.5570814,26.334662637873947,5.969390141354646,32.257155636587015,
mediapipe,stationary,1350,100.0,8.0762915,9.65519375,1.7194604485186877,1.5080670478930511,2.9642992465970086,47.736028455115296
mediapipe,horizontal,1350,100.0,8.117312,9.60276455,31.514536140597595,4.665141854737905,13.37126057549306,
mediapipe,vertical,1350,100.0,8.0967705,9.77428995,13.904833200986056,15.7914736338152,13.940999455672976,
mediapipe,distance,1350,100.0,8.076646,9.6663791,12.014846160739767,7.326977930983296,86.77019711701793,
mediapipe,low_light,1350,100.0,8.050792000000001,9.409050149999999,1.753067153872315,1.9767229986997281,4.279034896954838,
mediapipe,glasses,1350,100.0,8.078125,9.84227095,1.5126972358191986,2.018781544563929,5.937584498067239,
mediapipe,occlusion,1350,100.0,8.127541,9.78695015,2.3692495300981684,1.476983363699967,30.590383364115443,
mediapipe,head_rotation,1350,100.0,8.112958500000001,9.6367936,26.23069642730553,5.31322378451645,14.808649611024961,
